x,y,s,kappa,dkappa,theta
-323.538333173,207.05900427,6.1615538395,0.0563313362,0.0381230969,2.807001604
-323.5571168,207.065522795,6.181436391,0.0570910337,0.0382947436,2.8081291615
-323.575907815,207.072019994,6.2013189425,0.0578541041,0.0384623792,2.8092718572
-323.59470629,207.078495574,6.2212014941,0.0586204677,0.0386260163,2.8104297577
-323.6135123,207.084949239,6.2410840456,0.0593900452,0.0387856678,2.8116029275
-323.632325918,207.091380693,6.2609665972,0.0601627574,0.0389413466,2.8127914297
-323.651147215,207.097789637,6.2808491487,0.0609385256,0.0390930653,2.813995326
-323.669976264,207.104175773,6.3007317002,0.061717271,0.0392408367,2.8152146762
-323.688813135,207.110538798,6.3206142518,0.0624989154,0.0393846738,2.8164495388
-323.707657899,207.116878411,6.3404968033,0.0632833807,0.0395245892,2.8176999707
-323.726510624,207.123194308,6.3603793548,0.0640705889,0.0396605957,2.8189660272
-323.74537138,207.129486184,6.3802619064,0.0648604625,0.0397927062,2.820247762
-323.764240234,207.135753731,6.4001444579,0.0656529242,0.0399209334,2.8215452273
-323.783117253,207.141996643,6.4200270095,0.0664478969,0.0400452901,2.8228584739
-323.802002503,207.148214609,6.439909561,0.0672453037,0.0401657892,2.8241875509
-323.820896051,207.154407321,6.4597921125,0.0680450682,0.0402824433,2.825532506
-323.839797959,207.160574465,6.4796746641,0.0688471139,0.0403952654,2.8268933852
-323.858708291,207.166715729,6.4995572156,0.0696513647,0.0405042682,2.8282702332
-323.87762711,207.1728308,6.5194397672,0.070457745,0.0406094644,2.829663093
-323.896554476,207.178919361,6.5393223187,0.0712661791,0.0407108669,2.8310720063
-323.915490451,207.184981097,6.5592048702,0.0720765918,0.0408084885,2.8324970131
-323.934435093,207.191015691,6.5790874218,0.0728889079,0.040902342,2.833938152
-323.953388461,207.197022823,6.5989699733,0.0737030527,0.0409924401,2.8353954601
-323.972350612,207.203002174,6.6188525249,0.0745189517,0.0410787957,2.8368689731
-323.9913216,207.208953424,6.6387350764,0.0753365306,0.0411614215,2.838358725
-324.010301482,207.21487625,6.6586176279,0.0761557153,0.0412403304,2.8398647486
-324.02929031,207.220770331,6.6785001795,0.076976432,0.041315535,2.8413870751
