x,y,s,kappa,dkappa,theta
-302.3688906057,229.7096582799,5.4267869079,0.0028839762,0.0108852746,1.1330000635
-302.3604740262,229.7276402964,5.4466411701,0.0031010514,0.0109816442,1.1330594745
-302.3520585539,229.7456228311,5.4664954323,0.0033200434,0.0110783593,1.1331232144
-302.3436442671,229.7636059204,5.4863496945,0.0035409589,0.011175408,1.1331913212
-302.3352312446,229.7815896014,5.5062039567,0.0037638045,0.0112727782,1.1332638334
-302.326819566,229.799573911,5.5260582189,0.0039885863,0.0113704578,1.1333407892
-302.3184093117,229.8175588866,5.5459124811,0.0042153105,0.0114684348,1.1334222271
-302.3100005627,229.8355445661,5.5657667433,0.0044439828,0.011566697,1.1335081858
-302.3015934007,229.8535309875,5.5856210055,0.0046746088,0.0116652326,1.133598704
-302.2931879081,229.8715181892,5.6054752677,0.0049071937,0.0117640293,1.1336938206
-302.2847841681,229.8895062096,5.6253295299,0.0051417427,0.0118630752,1.1337935745
-302.2763822645,229.907495088,5.6451837921,0.0053782605,0.0119623582,1.1338980047
-302.2679822819,229.9254848634,5.6650380543,0.0056167518,0.0120618663,1.1340071503
-302.2595843056,229.9434755755,5.6848923165,0.0058572208,0.0121615874,1.1341210507
-302.2511884216,229.961467264,5.7047465788,0.0060996718,0.0122615094,1.134239745
-302.2427947165,229.9794599693,5.724600841,0.0063441085,0.0123616203,1.1343632728
-302.2344032779,229.9974537317,5.7444551032,0.0065905347,0.012461908,1.1344916734
-302.2260141939,230.015448592,5.7643093654,0.0068389536,0.0125623605,1.1346249864
-302.2176275534,230.0334445912,5.7841636276,0.0070893685,0.0126629658,1.1347632513
-302.2092434461,230.0514417707,5.8040178898,0.0073417822,0.0127637117,1.134906508
-302.2008619623,230.0694401722,5.823872152,0.0075961975,0.0128645863,1.1350547959
-302.1924831931,230.0874398376,5.8437264142,0.0078526167,0.0129655774,1.135208155
-302.1841072303,230.1054408091,5.8635806764,0.0081110421,0.0130666731,1.135366625
-302.1757341666,230.1234431293,5.8834349386,0.0083714757,0.0131678612,1.1355302458
-302.1673640952,230.1414468409,5.9032892008,0.008633919,0.0132691298,1.1356990573
-302.1589971102,230.159451987,5.923143463,0.0088983737,0.0133704667,1.1358730993
-302.1506333064,230.1774586112,5.9429977252,0.0091648409,0.0134718599,1.1360524119
-302.1422727793,230.1954667569,5.9628519874,0.0094333216,0.0135732974,1.136237035
-302.1339156252,230.2134764682,5.9827062496,0.0097038167,0.0136747671,1.1364270085
-302.125561941,230.2314877893,6.0025605118,0.0099763266,0.013776257,1.1366223725
-302.1172118247,230.2495007647,6.022414774,0.0102508516,0.0138777549,1.136823167
-302.1088653746,230.2675154392,6.0422690362,0.0105273917,0.0139792489,1.1370294321
-302.1005226901,230.2855318579,6.0621232984,0.0108059468,0.0140807269,1.1372412076
-302.0921838711,230.303550066,6.0819775606,0.0110865164,0.0141821768,1.1374585336
-302.0838490185,230.3215701092,6.1018318228,0.0113690999,0.0142835867,1.1376814501
-302.0755182338,230.3395920334,6.121686085,0.0116536962,0.0143849443,1.1379099971
-302.0671916191,230.3576158847,6.1415403472,0.0119403044,0.0144862378,1.1381442145
-302.0588692776,230.3756417094,6.1613946094,0.0122289229,0.014587455,1.1383841423
-302.050551313,230.3936695543,6.1812488716,0.0125195501,0.0146885838,1.1386298203
-302.0422378299,230.4116994662,6.2011031338,0.0128121842,0.0147896123,1.1388812884
-302.0339289334,230.4297314923,6.220957396,0.013106823,0.0148905284,1.1391385865
-302.0256247297,230.44776568,6.2408116582,0.0134034643,0.0149913199,1.1394017543
-302.0173253255,230.465802077,6.2606659204,0.0137021053,0.015091975,1.1396708315
-302.0090308285,230.4838407311,6.2805201826,0.0140027433,0.0151924815,1.1399458579
-302.0007413468,230.5018816906,6.3003744448,0.0143053753,0.0152928273,1.140226873
-301.9924569895,230.5199250037,6.320228707,0.0146099978,0.0153930004,1.1405139164
-301.9841778665,230.5379707192,6.3400829692,0.0149166074,0.0154929888,1.1408070276
